testId;n;m;topologySize
59817;27;125;152
59818;27;123;150
59819;27;128;155
59820;27;124;151
59821;27;130;157
59822;27;131;158
59824;27;125;152
59825;27;128;155
59826;27;124;151
59827;27;124;151
59828;27;128;155
59829;27;124;151
59830;27;122;149
59831;27;126;153
59832;27;127;154
59841;27;124;151
59842;27;124;151
59843;27;126;153
59844;27;123;150
59845;27;126;153
59846;27;125;152
59847;27;126;153
59848;27;127;154
59849;27;125;152
59850;27;125;152
59851;27;128;155
59852;27;125;152
59853;27;130;157
59854;27;128;155
59855;27;121;148
59859;27;119;146
59860;27;118;145
59861;27;125;152
59862;27;126;153
59863;27;127;154
59864;27;124;151
59865;27;122;149
59866;27;127;154
59867;27;125;152
59868;27;126;153
59869;27;128;155
59870;27;126;153
59884;27;126;153
59885;27;129;156
59886;27;125;152
59887;27;125;152
59888;27;128;155
59889;27;126;153
59890;27;129;156
59891;27;129;156
59892;27;129;156
59893;27;127;154
59894;27;129;156
59895;27;125;152
59896;26;120;146
59897;27;129;156
59898;27;126;153
59899;27;128;155
59900;27;128;155
59904;27;126;153
59905;27;127;154
59906;27;123;150
59907;27;124;151
59908;27;124;151
59909;27;125;152
59910;27;129;156
59911;27;130;157
59912;27;124;151
59913;27;132;159
59914;27;127;154
59915;27;125;152
59916;27;127;154
59922;27;119;146
59923;27;119;146
59924;27;125;152
59925;27;122;149
59926;26;116;142
59927;26;110;136
59928;26;108;134
59929;26;111;137
59930;26;114;140
59931;26;113;139
59932;26;113;139
59933;26;117;143
