tool;file;count
emoflon;emoflon-tool/org.moflon.sdm.compiler.democles/templates/stringtemplate/Assignment.stg;18
emoflon;emoflon-tool/org.moflon.sdm.compiler.democles/templates/stringtemplate/ControlFlow.stg;265
emoflon;emoflon-tool/org.moflon.sdm.compiler.democles/templates/stringtemplate/EMFCreateOperation.stg;20
emoflon;emoflon-tool/org.moflon.sdm.compiler.democles/templates/stringtemplate/EMFDeleteOperation.stg;16
emoflon;emoflon-tool/org.moflon.sdm.compiler.democles/templates/stringtemplate/ExpressionPatternMatcher.stg;9
emoflon;emoflon-tool/org.moflon.sdm.compiler.democles/templates/stringtemplate/Number.stg;12
emoflon;emoflon-tool/org.moflon.sdm.compiler.democles/templates/stringtemplate/PrioritizedPatternCall.stg;11
emoflon;emoflon-tool/org.moflon.sdm.compiler.democles/templates/stringtemplate/RegularPatternMatcher.stg;22
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/cFile/cFile.stg;234
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/democlestemplates/DemoclesCommon.stg;30
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/democlestemplates/EMFConstant.stg;3
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/democlestemplates/EMFOperation.stg;60
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/democlestemplates/PatternCallOperation.stg;5
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/democlestemplates/PrimitiveRelationalOperation.stg;30
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/democlestemplates/RelationalOperation.stg;30
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/header/cMoflonHeader.stg;70
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/header/header.stg;76
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/stringtemplate/Assignment.stg;18
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/stringtemplate/ControlFlow.stg;276
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/stringtemplate/EMFCreateOperation.stg;30
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/stringtemplate/EMFDeleteOperation.stg;16
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/stringtemplate/EvaluationStatements.stg;25
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/stringtemplate/ExpressionPatternMatcher.stg;9
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/stringtemplate/Number.stg;12
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/stringtemplate/PrioritizedPatternCall.stg;11
cmoflon;cmoflon-cmoflon_1.5.0/src/org.cmoflon.ide.core/templates/stringtemplate/RegularPatternMatcher.stg;52
