testId;algo;nodeId;runtimeMillis
59817_KtcMan;aktc;1;21
59817_KtcMan;aktc;2;39
59817_KtcMan;aktc;3;1324
59817_KtcMan;aktc;4;49
59817_KtcMan;aktc;6;240
59817_KtcMan;aktc;7;29
59817_KtcMan;aktc;8;111
59817_KtcMan;aktc;10;59
59817_KtcMan;aktc;11;56
59817_KtcMan;aktc;13;239
59817_KtcMan;aktc;14;44
59817_KtcMan;aktc;15;200
59817_KtcMan;aktc;16;154
59817_KtcMan;aktc;17;63
59817_KtcMan;aktc;18;136
59817_KtcMan;aktc;19;128
59817_KtcMan;aktc;20;301
59817_KtcMan;aktc;22;139
59817_KtcMan;aktc;23;340
59817_KtcMan;aktc;24;120
59817_KtcMan;aktc;25;149
59817_KtcMan;aktc;26;124
59817_KtcMan;aktc;27;100
59817_KtcMan;aktc;28;142
59817_KtcMan;aktc;31;131
59817_KtcMan;aktc;32;43
59817_KtcMan;aktc;33;110
59818_LStarKtcMan;lktc;1;33
59818_LStarKtcMan;lktc;2;61
59818_LStarKtcMan;lktc;3;1307
59818_LStarKtcMan;lktc;4;74
59818_LStarKtcMan;lktc;6;260
59818_LStarKtcMan;lktc;7;41
59818_LStarKtcMan;lktc;8;108
59818_LStarKtcMan;lktc;10;159
59818_LStarKtcMan;lktc;11;104
59818_LStarKtcMan;lktc;13;307
59818_LStarKtcMan;lktc;14;95
59818_LStarKtcMan;lktc;15;207
59818_LStarKtcMan;lktc;16;545
59818_LStarKtcMan;lktc;17;128
59818_LStarKtcMan;lktc;18;230
59818_LStarKtcMan;lktc;19;307
59818_LStarKtcMan;lktc;20;506
59818_LStarKtcMan;lktc;22;250
59818_LStarKtcMan;lktc;23;668
59818_LStarKtcMan;lktc;24;186
59818_LStarKtcMan;lktc;25;222
59818_LStarKtcMan;lktc;26;255
59818_LStarKtcMan;lktc;27;173
59818_LStarKtcMan;lktc;28;243
59818_LStarKtcMan;lktc;31;161
59818_LStarKtcMan;lktc;32;109
59818_LStarKtcMan;lktc;33;126
59819_LmstMan;lmst;1;145
59819_LmstMan;lmst;2;489
59819_LmstMan;lmst;3;702
59819_LmstMan;lmst;4;504
59819_LmstMan;lmst;6;376
59819_LmstMan;lmst;7;376
59819_LmstMan;lmst;8;586
59819_LmstMan;lmst;10;10
59819_LmstMan;lmst;11;443
59819_LmstMan;lmst;13;634
59819_LmstMan;lmst;14;438
59819_LmstMan;lmst;15;816
59819_LmstMan;lmst;16;422
59819_LmstMan;lmst;17;1078
59819_LmstMan;lmst;18;571
59819_LmstMan;lmst;19;943
59819_LmstMan;lmst;20;363
59819_LmstMan;lmst;22;202
59819_LmstMan;lmst;23;726
59819_LmstMan;lmst;24;858
59819_LmstMan;lmst;25;828
59819_LmstMan;lmst;26;267
59819_LmstMan;lmst;27;890
59819_LmstMan;lmst;28;611
59819_LmstMan;lmst;31;1171
59819_LmstMan;lmst;32;687
59819_LmstMan;lmst;33;815
59820_KtcGen;KtcAlgorithm;1;71
59820_KtcGen;KtcAlgorithm;2;180
59820_KtcGen;KtcAlgorithm;3;38
59820_KtcGen;KtcAlgorithm;4;255
59820_KtcGen;KtcAlgorithm;6;606
59820_KtcGen;KtcAlgorithm;7;131
59820_KtcGen;KtcAlgorithm;8;509
59820_KtcGen;KtcAlgorithm;10;561
59820_KtcGen;KtcAlgorithm;11;198
59820_KtcGen;KtcAlgorithm;13;805
59820_KtcGen;KtcAlgorithm;14;315
59820_KtcGen;KtcAlgorithm;15;577
59820_KtcGen;KtcAlgorithm;16;489
59820_KtcGen;KtcAlgorithm;17;305
59820_KtcGen;KtcAlgorithm;18;339
59820_KtcGen;KtcAlgorithm;19;518
59820_KtcGen;KtcAlgorithm;20;5
59820_KtcGen;KtcAlgorithm;22;1181
59820_KtcGen;KtcAlgorithm;23;571
59820_KtcGen;KtcAlgorithm;24;815
59820_KtcGen;KtcAlgorithm;25;864
59820_KtcGen;KtcAlgorithm;26;497
59820_KtcGen;KtcAlgorithm;27;437
59820_KtcGen;KtcAlgorithm;28;530
59820_KtcGen;KtcAlgorithm;31;1025
59820_KtcGen;KtcAlgorithm;32;245
59820_KtcGen;KtcAlgorithm;33;1220
59821_LStarKtcGen;LStarKtcAlgorithm;1;51971
59821_LStarKtcGen;LStarKtcAlgorithm;2;35431
59821_LStarKtcGen;LStarKtcAlgorithm;3;25245
59821_LStarKtcGen;LStarKtcAlgorithm;4;75867
59821_LStarKtcGen;LStarKtcAlgorithm;6;20051
59821_LStarKtcGen;LStarKtcAlgorithm;7;12330
59821_LStarKtcGen;LStarKtcAlgorithm;8;73579
59821_LStarKtcGen;LStarKtcAlgorithm;10;64274
59821_LStarKtcGen;LStarKtcAlgorithm;11;978
59821_LStarKtcGen;LStarKtcAlgorithm;13;96992
59821_LStarKtcGen;LStarKtcAlgorithm;14;89754
59821_LStarKtcGen;LStarKtcAlgorithm;15;128451
59821_LStarKtcGen;LStarKtcAlgorithm;16;59968
59821_LStarKtcGen;LStarKtcAlgorithm;17;25636
59821_LStarKtcGen;LStarKtcAlgorithm;18;129548
59821_LStarKtcGen;LStarKtcAlgorithm;19;127471
59821_LStarKtcGen;LStarKtcAlgorithm;20;46359
59821_LStarKtcGen;LStarKtcAlgorithm;22;40589
59821_LStarKtcGen;LStarKtcAlgorithm;23;101324
59821_LStarKtcGen;LStarKtcAlgorithm;24;9186
59821_LStarKtcGen;LStarKtcAlgorithm;25;64030
59821_LStarKtcGen;LStarKtcAlgorithm;26;71629
59821_LStarKtcGen;LStarKtcAlgorithm;27;61280
59821_LStarKtcGen;LStarKtcAlgorithm;28;96528
59821_LStarKtcGen;LStarKtcAlgorithm;31;36441
59821_LStarKtcGen;LStarKtcAlgorithm;32;30365
59821_LStarKtcGen;LStarKtcAlgorithm;33;10834
