testId;algo;nodeId;runtimeMillis
60096_LStarKtcGen;LStarKtcAlgorithm;1;357
60096_LStarKtcGen;LStarKtcAlgorithm;2;252
60096_LStarKtcGen;LStarKtcAlgorithm;3;634
60096_LStarKtcGen;LStarKtcAlgorithm;4;253
60096_LStarKtcGen;LStarKtcAlgorithm;6;449
60096_LStarKtcGen;LStarKtcAlgorithm;7;207
60096_LStarKtcGen;LStarKtcAlgorithm;8;295
60096_LStarKtcGen;LStarKtcAlgorithm;10;587
60096_LStarKtcGen;LStarKtcAlgorithm;11;600
60096_LStarKtcGen;LStarKtcAlgorithm;13;362
60096_LStarKtcGen;LStarKtcAlgorithm;14;251
60096_LStarKtcGen;LStarKtcAlgorithm;15;631
60096_LStarKtcGen;LStarKtcAlgorithm;16;1070
60096_LStarKtcGen;LStarKtcAlgorithm;17;686
60096_LStarKtcGen;LStarKtcAlgorithm;18;559
60096_LStarKtcGen;LStarKtcAlgorithm;19;640
60096_LStarKtcGen;LStarKtcAlgorithm;20;527
60096_LStarKtcGen;LStarKtcAlgorithm;22;805
60096_LStarKtcGen;LStarKtcAlgorithm;23;641
60096_LStarKtcGen;LStarKtcAlgorithm;24;648
60096_LStarKtcGen;LStarKtcAlgorithm;25;406
60096_LStarKtcGen;LStarKtcAlgorithm;26;210
60096_LStarKtcGen;LStarKtcAlgorithm;27;633
60096_LStarKtcGen;LStarKtcAlgorithm;28;503
60096_LStarKtcGen;LStarKtcAlgorithm;31;284
60096_LStarKtcGen;LStarKtcAlgorithm;32;334
60096_LStarKtcGen;LStarKtcAlgorithm;33;596
60104_LStarKtcGen;LStarKtcAlgorithm;1;354
60104_LStarKtcGen;LStarKtcAlgorithm;2;460
60104_LStarKtcGen;LStarKtcAlgorithm;3;354
60104_LStarKtcGen;LStarKtcAlgorithm;4;500
60104_LStarKtcGen;LStarKtcAlgorithm;6;92
60104_LStarKtcGen;LStarKtcAlgorithm;7;333
60104_LStarKtcGen;LStarKtcAlgorithm;8;415
60104_LStarKtcGen;LStarKtcAlgorithm;10;938
60104_LStarKtcGen;LStarKtcAlgorithm;11;948
60104_LStarKtcGen;LStarKtcAlgorithm;13;427
60104_LStarKtcGen;LStarKtcAlgorithm;14;305
60104_LStarKtcGen;LStarKtcAlgorithm;15;969
60104_LStarKtcGen;LStarKtcAlgorithm;16;430
60104_LStarKtcGen;LStarKtcAlgorithm;17;628
60104_LStarKtcGen;LStarKtcAlgorithm;18;538
60104_LStarKtcGen;LStarKtcAlgorithm;19;609
60104_LStarKtcGen;LStarKtcAlgorithm;20;146
60104_LStarKtcGen;LStarKtcAlgorithm;22;680
60104_LStarKtcGen;LStarKtcAlgorithm;23;711
60104_LStarKtcGen;LStarKtcAlgorithm;24;831
60104_LStarKtcGen;LStarKtcAlgorithm;25;197
60104_LStarKtcGen;LStarKtcAlgorithm;26;582
60104_LStarKtcGen;LStarKtcAlgorithm;27;1088
60104_LStarKtcGen;LStarKtcAlgorithm;28;305
60104_LStarKtcGen;LStarKtcAlgorithm;31;1206
60104_LStarKtcGen;LStarKtcAlgorithm;32;416
60104_LStarKtcGen;LStarKtcAlgorithm;33;887
60105_LStarKtcGen;LStarKtcAlgorithm;1;341
60105_LStarKtcGen;LStarKtcAlgorithm;2;489
60105_LStarKtcGen;LStarKtcAlgorithm;3;752
60105_LStarKtcGen;LStarKtcAlgorithm;4;551
60105_LStarKtcGen;LStarKtcAlgorithm;6;979
60105_LStarKtcGen;LStarKtcAlgorithm;7;280
