uniqueId;worldSize;moteCount;moteCountEmpty;linkCountInitial;densityInitial;densityInitialBucket;tcOperationMode;movementSpeed;('totalSimulationDurationSeconds',);totalTcaDurationSeconds;totalCehDurationSeconds;totalTccDurationSeconds;totalTcaLsm;totalCehLsm;totalAllLsm
1;900;100;8;600;6.0;0;B;0.0;203.4;0.5100000000000003;0.4320000000000003;0.9420000000000006;33346;600;33946
2;900;100;12;620;6.2;0;B;0.0;189.0;0.46800000000000025;0.38200000000000023;0.8500000000000005;33974;620;34594
3;900;100;8;610;6.1;0;B;0.0;187.79999999999998;0.5360000000000003;0.4340000000000003;0.9700000000000005;34536;610;35146
4;900;100;13;576;5.76;0;B;0.0;195.6;0.47600000000000026;0.3750000000000002;0.8510000000000004;30432;576;31008
5;900;100;10;544;5.44;0;B;0.0;264.0;0.4920000000000003;0.3800000000000002;0.8720000000000006;30434;544;30978
6;900;100;13;564;5.64;0;B;0.0;241.8;0.4810000000000003;0.4360000000000002;0.9170000000000005;31004;564;31568
7;900;100;10;574;5.74;0;B;0.0;185.39999999999998;0.5010000000000002;0.38200000000000023;0.8830000000000005;30778;574;31352
8;900;100;6;612;6.12;0;B;0.0;118.2;0.5470000000000004;0.40700000000000025;0.9540000000000006;35172;612;35784
9;900;100;9;566;5.66;0;B;0.0;220.8;0.6630000000000004;0.4890000000000002;1.1520000000000006;31440;566;32006
10;900;100;10;568;5.68;0;B;0.0;207.0;0.4600000000000003;0.3590000000000002;0.8190000000000005;30708;568;31276
11;900;100;8;600;6.0;0;I;0.0;199.8;0.07300000000000001;0.8630000000000005;0.9360000000000006;620;642;1262
12;900;100;12;620;6.2;0;I;0.0;187.20000000000002;0.07900000000000001;0.8870000000000006;0.9660000000000006;644;674;1318
13;900;100;8;610;6.1;0;I;0.0;181.79999999999998;0.063;0.9060000000000006;0.9690000000000005;618;638;1256
14;900;100;13;576;5.76;0;I;0.0;188.4;0.08700000000000002;0.7310000000000004;0.8180000000000005;606;638;1244
15;900;100;10;544;5.44;0;I;0.0;243.0;0.061000000000000006;0.7690000000000005;0.8300000000000005;562;592;1154
16;900;100;13;564;5.64;0;I;0.0;228.6;0.068;0.6860000000000004;0.7540000000000004;588;630;1218
17;900;100;10;574;5.74;0;I;0.0;166.79999999999998;0.07200000000000001;0.7800000000000005;0.8520000000000005;602;632;1234
18;900;100;6;612;6.12;0;I;0.0;107.4;0.08100000000000002;0.8330000000000005;0.9140000000000006;630;640;1270
19;900;100;9;566;5.66;0;I;0.0;208.8;0.07100000000000001;0.7750000000000005;0.8460000000000005;580;600;1180
20;900;100;10;568;5.68;0;I;0.0;206.4;0.068;0.7380000000000004;0.8060000000000005;590;632;1222
21;900;100;4;600;6.0;0;B;1.4;190.2;0.6960000000000005;0.8350000000000005;1.531000000000001;41556;11422;52978
22;900;100;5;620;6.2;0;B;1.4;186.6;0.6720000000000005;0.7890000000000005;1.461000000000001;38754;10458;49212
23;900;100;2;610;6.1;0;B;1.4;166.79999999999998;0.6780000000000004;0.7740000000000005;1.4520000000000008;39712;10568;50280
24;900;100;5;576;5.76;0;B;1.4;180.6;0.7320000000000004;0.9140000000000006;1.646000000000001;42012;12248;54260
25;900;100;2;544;5.44;0;B;1.4;175.2;0.6820000000000004;0.6710000000000004;1.3530000000000006;39580;9048;48628
26;900;100;2;564;5.64;0;B;1.4;166.79999999999998;0.6670000000000005;0.6610000000000004;1.3280000000000007;37730;8804;46534
27;900;100;4;574;5.74;0;B;1.4;163.8;0.6950000000000004;0.7380000000000004;1.4330000000000007;40356;9348;49704
28;900;100;3;612;6.12;0;B;1.4;188.4;0.7410000000000004;0.8340000000000005;1.575000000000001;42010;10218;52228
29;900;100;3;566;5.66;0;B;1.4;168.6;0.6440000000000003;0.6260000000000003;1.2700000000000007;37762;7638;45400
30;900;100;6;568;5.68;0;B;1.4;193.20000000000002;0.7240000000000005;0.8490000000000005;1.573000000000001;40172;11710;51882
31;900;100;4;600;6.0;0;I;1.4;193.8;0.5180000000000003;1.3739999999999999;1.8920000000000003;25148;26074;51222
32;900;100;5;620;6.2;0;I;1.4;181.79999999999998;0.4600000000000003;1.2060000000000006;1.6660000000000008;22220;23323;45543
33;900;100;2;610;6.1;0;I;1.4;174.0;0.4880000000000003;1.224;1.7120000000000002;23042;23972;47014
34;900;100;5;576;5.76;0;I;1.4;182.4;0.5470000000000004;1.4660000000000002;2.013000000000001;26456;27524;53980
35;900;100;2;544;5.44;0;I;1.4;171.0;0.4030000000000002;1.0340000000000005;1.4370000000000007;17384;18621;36005
36;900;100;2;564;5.64;0;I;1.4;162.6;0.3660000000000002;0.9760000000000006;1.342000000000001;17134;18233;35367
37;900;100;4;574;5.74;0;I;1.4;159.0;0.4330000000000002;1.134;1.5670000000000002;18856;20003;38859
38;900;100;3;612;6.12;0;I;1.4;187.79999999999998;0.5130000000000003;1.3619999999999999;1.8750000000000002;21476;22358;43834
39;900;100;3;566;5.66;0;I;1.4;178.8;0.3540000000000002;0.9110000000000006;1.2650000000000008;15666;16497;32163
40;900;100;6;568;5.68;0;I;1.4;193.20000000000002;0.5610000000000004;1.2890000000000001;1.8500000000000005;24988;26170;51158
41;600;100;7;1162;11.62;10;B;0.0;174.60000000000002;0.9900000000000007;0.6860000000000004;1.676000000000001;65976;1162;67138
42;600;100;9;1214;12.14;10;B;0.0;198.6;1.0010000000000006;0.6310000000000004;1.632000000000001;67816;1214;69030
43;600;100;11;1156;11.56;10;B;0.0;196.79999999999998;0.9600000000000006;0.6390000000000003;1.599000000000001;63560;1156;64716
44;600;100;10;1192;11.92;10;B;0.0;203.4;1.0000000000000007;0.6830000000000004;1.6830000000000012;65526;1192;66718
45;600;100;10;1302;13.02;10;B;0.0;216.0;1.0810000000000004;0.6860000000000004;1.7670000000000008;70066;1302;71368
46;600;100;9;1238;12.38;10;B;0.0;184.2;1.0170000000000006;0.6440000000000005;1.661000000000001;68330;1238;69568
47;600;100;9;1216;12.16;10;B;0.0;230.39999999999998;0.9990000000000007;0.6520000000000004;1.6510000000000011;67376;1216;68592
48;600;100;5;1220;12.2;10;B;0.0;201.0;1.0170000000000006;0.6510000000000004;1.668000000000001;69670;1220;70890
49;600;100;9;1276;12.76;10;B;0.0;176.4;1.0850000000000004;0.7090000000000004;1.794000000000001;72028;1276;73304
50;600;100;10;1248;12.48;10;B;0.0;195.0;1.0550000000000002;0.6590000000000004;1.7140000000000004;69166;1248;70414
51;600;100;7;1162;11.62;10;I;0.0;174.0;0.128;3.6090000000000004;3.7370000000000005;1184;1216;2400
52;600;100;9;1214;12.14;10;I;0.0;196.79999999999998;0.161;3.7379999999999995;3.8989999999999996;1252;1308;2560
53;600;100;11;1156;11.56;10;I;0.0;205.8;0.138;3.7509999999999977;3.8889999999999976;1194;1276;2470
54;600;100;10;1192;11.92;10;I;0.0;205.8;0.137;3.569999999999999;3.706999999999999;1220;1270;2490
55;600;100;10;1302;13.02;10;I;0.0;216.0;0.14200000000000002;4.938000000000001;5.080000000000001;1332;1406;2738
56;600;100;9;1238;12.38;10;I;0.0;185.39999999999998;0.17200000000000001;4.2490000000000006;4.421;1262;1318;2580
57;600;100;9;1216;12.16;10;I;0.0;235.8;0.14;3.795000000000001;3.935000000000001;1252;1316;2568
58;600;100;5;1220;12.2;10;I;0.0;210.6;0.14100000000000001;4.708000000000001;4.849000000000001;1240;1270;2510
59;600;100;9;1276;12.76;10;I;0.0;181.2;0.132;5.012000000000001;5.144000000000001;1296;1350;2646
60;600;100;10;1248;12.48;10;I;0.0;211.79999999999998;0.14100000000000001;4.199;4.34;1276;1342;2618
61;600;100;0;1162;11.62;10;B;1.4;198.6;1.476;1.3100000000000005;2.7860000000000005;80654;14734;95388
62;600;100;0;1214;12.14;10;B;1.4;196.79999999999998;1.569;1.3820000000000003;2.9510000000000005;80804;17018;97822
