lhsRule;rhsRule;interaction
Ra;Ra;cl(e12)
Ra;Rfind-u;cl(e12)
Ri;Ri;cl(e12)
Ri;Rfind-u;cl(e12)
Ri;R-e,h,1;dl(e12-e13)
Ri;R-e,h,2;dr(e12-e32)
R-e,h,1;Ri;dl(e13-e12)
R-e,h,1;Rfind-u;dl(e13-e12)
R-e,h,1;R-e,h,1;cl(e12)
R-e,h,1;R-e,h,2;cr(e13-e32)
R-e,h,1;R-e;dl(e13),dr(e13-e32)
R-e,h,2;Rfind-u;dr(e32-e12)
R-e,h,2;R-e,h,1;cr(e32-e13)
R-e,h,2;R-e,h,2;cl(e32)
R-e,h,2;R-e;dl(e32)
R-e,h,2;Runlock;dr(e32-e23)
R-e;Ri;cl(e12),cl(e13),cr(e32)
R-e;Ra;dl(e13),dr(e32)
R-e;Rfind-u;cl(e12)
R-e;R-e,h,1;dl(e13),dr(e43),cl(e12),cl(e13)
R-e;R-e,h,2;dr(e34),dr(e42),cl(e12),cl(e32)
R-e;R-e;cl(e12)
R-e;Runlock;cr(e23)
Runlock;Ri;dr(e12)
Runlock;Runlock;cl(e12)
