cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
600;101;8;1;D_KTC;I;1.41;0.0;1;1.000;0.01;101;0;101;1220;12.1;1;1;101.00;101;1220;1.35;6.00;107.00;1220;280;940;1220;0;1220;105.00;1321;1220;1220;1220;0;101;0;1220;0;0;0;0;44.00;9987397537.80;39696103.93;1000000000000.00;67.46;30.54;100.00;0;4.00;10.00;41191.12;410293.12;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;2;2.000;0.07;101;0;101;1242;12.3;1;1;101.00;101;1242;1.44;6.00;35.00;704;202;502;704;0;704;146.00;4555;718;718;718;0;0;0;312;290;930;0;930;15.00;9987020846.94;39283548.17;999998060799.51;67.18;30.22;100.00;0;3.00;7.00;41237.47;410699.54;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;3;3.000;0.13;101;0;101;1258;12.5;1;1;101.00;101;1258;1.45;9.00;14.00;702;210;492;702;0;702;74.00;4454;712;712;712;0;0;0;292;276;936;0;936;16.00;9986424628.30;38870563.47;999994398009.15;66.75;29.90;100.00;0;2.00;4.00;41230.96;410700.19;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;4;4.000;0.20;101;0;101;1252;12.4;2;1;101.00;101;1252;NaN;NaN;16.00;652;188;464;652;0;652;67.00;4445;678;678;678;0;0;0;272;278;938;0;938;9.00;9985776097.13;38632019.93;999990904283.01;66.28;29.72;100.00;0;2.00;4.00;41236.70;410699.62;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;5;5.000;0.25;101;0;101;1200;11.9;1;1;101.00;101;1200;1.47;8.00;17.00;682;216;466;682;0;682;67.00;4252;702;702;702;0;0;0;246;298;888;0;888;11.00;9985176276.08;38237906.22;999987364759.21;65.84;29.41;100.00;0;2.00;6.00;41238.53;410699.43;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;6;6.000;0.30;101;0;101;1196;11.8;1;1;101.00;101;1196;1.33;4.00;11.00;684;200;484;684;0;684;50.00;4206;714;714;714;0;0;0;284;288;868;0;868;8.00;9984642297.04;36855652.76;999983738629.73;65.46;28.35;100.00;0;2.00;3.00;41229.34;410700.36;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;7;7.000;0.35;101;0;101;1322;13.1;1;1;101.00;101;1322;1.38;5.00;16.00;786;208;578;786;0;786;58.00;4361;802;802;802;0;0;0;370;244;900;0;900;7.00;9984132655.75;35639778.07;999980691105.72;65.09;27.42;100.00;0;2.00;4.00;41073.97;409153.30;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;8;8.000;0.41;101;0;101;1342;13.3;1;1;101.00;101;1342;1.44;6.00;13.00;782;210;572;782;0;782;66.00;4574;800;800;800;0;0;0;348;328;937;0;937;8.00;9983554417.49;35304993.76;999977514111.59;64.67;27.16;100.00;0;2.00;4.00;41071.16;409153.59;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;9;9.000;0.45;101;0;101;1350;13.4;1;1;101.00;101;1350;1.60;6.00;11.00;692;196;496;692;0;692;67.00;4705;718;718;718;0;0;0;282;274;991;0;991;7.00;9982980451.23;34987596.38;999973892645.89;64.26;26.91;100.00;0;3.00;4.00;41402.39;412472.66;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;10;10.000;0.51;101;0;101;1322;13.1;2;1;101.00;101;1322;NaN;NaN;15.00;690;184;506;690;0;690;62.00;4647;710;710;710;0;0;0;284;312;971;0;971;8.00;9982443614.96;34802709.46;999970843510.05;63.87;26.77;100.00;0;2.00;4.00;41158.17;410043.83;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;11;11.000;0.56;101;0;101;1268;12.6;2;1;101.00;101;1268;NaN;NaN;11.00;686;204;482;686;0;686;68.00;4412;718;718;718;0;0;0;286;340;905;0;905;7.00;9981900309.24;34443307.40;999968254614.23;63.47;26.49;100.00;0;2.00;4.00;41160.57;410043.59;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;12;12.000;0.62;101;0;101;1268;12.6;1;1;101.00;101;1268;1.39;5.00;0.00;0;0;0;0;0;0;25.00;1468;0;0;0;0;0;0;0;0;363;0;363;9.00;9981298530.79;33976824.62;999965179258.12;63.03;26.14;100.00;0;4.00;3.00;41158.05;410043.84;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;13;13.000;0.67;101;0;101;1292;12.8;1;1;101.00;101;1292;1.42;5.00;14.00;802;218;584;802;0;802;53.00;4159;846;846;846;0;0;0;406;382;797;0;797;7.00;9980682947.07;33700318.23;999961303460.07;62.59;25.92;100.00;0;2.00;3.00;41147.85;410044.86;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;14;14.000;0.73;101;0;101;1316;13.0;1;1;101.00;101;1316;1.56;6.00;11.00;674;192;482;674;0;674;66.00;4359;686;686;686;0;0;0;288;264;906;0;906;11.00;9980123088.70;33534836.65;999957642209.72;62.18;25.80;100.00;0;1.00;3.00;41509.75;413717.21;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;15;15.000;0.78;101;0;101;1406;13.9;1;1;101.00;101;1406;1.43;5.00;12.00;724;192;532;724;0;724;68.00;4506;737;737;737;0;0;0;354;264;933;0;933;7.00;9979583583.14;33369365.47;999955052581.33;61.79;25.67;100.00;0;2.00;4.00;41208.13;410709.99;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;16;16.000;0.84;101;0;101;1460;14.5;1;1;101.00;101;1460;1.57;5.00;18.00;742;172;570;742;0;742;80.00;4765;746;746;746;0;0;0;340;286;992;0;992;7.00;9979025408.13;32467270.92;999952760784.18;61.38;24.97;100.00;0;2.00;3.00;41576.80;414432.61;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;8;1;D_KTC;I;1.41;0.0;17;17.000;0.89;101;0;101;1570;15.5;1;1;101.00;101;1570;1.75;8.00;18.00;762;190;572;762;0;762;91.00;5081;775;775;775;0;0;0;384;274;1064;0;1064;6.00;9978466121.69;29368680.11;999949613260.86;60.97;22.59;99.99;0;2.00;4.00;41082.74;409499.05;-1.00;-1.00;-1.00;-1.00;-1.00
