ID;IDLE;RECV;SEND;Total
1;5809002.0;1901194.7;11645565.3;19355762.0
2;5808514.9;1979357.0;11737184.5;19525056.4
3;5802273.4;4288067.9;14097128.5;24187469.7
4;5807137.4;3139355.4;12234949.7;21181442.5
5;5803122.2;3587663.8;14065260.0;23456046.0
6;5804813.0;4154201.3;13008160.7;22967175.0
7;5802852.9;4175982.8;13835126.3;23813962.0
8;5807497.5;2819830.2;11955196.0;20582523.8
9;5806706.8;2221896.2;12629228.6;20657831.6
10;5803142.3;4794023.7;13645208.7;24242374.7
11;5810713.7;1655538.0;10636122.9;18102374.6
12;5803737.4;2977006.0;13957485.8;22738229.1
13;5804849.2;2876198.2;13406464.2;22087511.6
14;5804491.3;3800232.5;13336162.9;22940886.7
15;5803244.9;3868450.5;13922744.3;23594439.7
16;5797648.8;4165791.9;16782433.3;26745874.0
17;5795347.8;5001815.7;17633151.5;28430315.0
18;5810861.4;1610547.0;10634974.7;18056383.1
19;5807071.1;3345500.1;12422609.3;21575180.5
20;5803920.7;3194061.1;13804669.4;22802651.2
21;5811926.6;1557259.5;10057732.5;17426918.6
22;5806142.0;2733934.0;12755937.6;21296013.7
23;5804685.0;2984093.7;13495788.6;22284567.3
24;5805192.1;3634522.0;12787199.5;22226913.6
25;5809710.1;1892539.2;11238666.0;18940915.3
26;5812618.9;1409710.2;9757705.8;16980034.8
27;5794168.3;6260148.1;17720187.8;29774504.1
28;5803334.0;3364236.5;14034203.1;23201773.6
29;5807340.1;2884732.9;12089102.6;20781175.7
30;5805686.7;2719312.7;13029601.9;21554601.3
31;5809705.5;2286688.0;11029000.3;19125393.8
32;5799773.5;4657597.5;15488877.6;25946248.6
33;5800057.2;4988889.0;15314236.8;26103183.0
34;5802761.6;4095044.1;14126583.9;24024389.6
35;5801535.8;4842959.3;14570429.5;25214924.6
36;5804384.2;3669295.4;13538034.4;23011714.0
37;5798898.7;4719953.9;15871569.4;26390422.0
38;5807118.8;3009995.9;12136584.6;20953699.2
39;5799686.8;4073446.0;15777125.5;25650258.2
40;5802582.1;4674456.4;14012275.3;24489313.9
41;5806685.3;2523214.6;12572782.6;20902682.5
42;5802435.6;3574660.5;14379523.6;23756619.8
43;5801689.2;4318924.0;14727618.8;24848232.0
44;5803623.9;3072642.5;13966261.6;22842528.0
45;5805066.4;2157538.0;13631245.1;21593849.5
46;5809295.7;1990928.6;11363536.9;19163761.2
47;5801876.2;3964792.8;14515716.6;24282385.7
48;5800549.7;5382206.1;14858649.0;26041404.8
49;5803352.9;3530288.5;14155765.9;23489407.4
50;5804746.5;3156785.5;13427488.8;22389020.8
51;5802483.2;4719845.0;13953042.9;24475371.2
52;5800118.0;3855811.9;15461552.0;25117482.0
53;5805354.1;2625583.9;13161455.4;21592393.4
54;5801569.7;4614383.9;14571272.7;24987226.2
55;5805902.0;2429570.6;13149065.0;21384537.5
56;5806444.3;3180583.7;12736836.2;21723864.2
57;5804469.1;3398555.3;13695165.3;22898189.7
58;5801724.1;4968003.4;14491325.7;25261053.3
59;5802444.8;3829962.1;14203577.8;23835984.8
60;5806933.1;2541900.7;12459062.3;20807896.1
61;5803495.7;3478327.4;13913616.8;23195439.9
62;5801534.4;3812196.6;14753976.1;24367707.1
63;5795824.0;4606280.6;17742818.9;28144923.5
64;5808329.4;2481649.8;11617804.8;19907784.0
65;5796229.3;4853836.4;17198308.3;27848374.0
66;5803852.9;3216513.5;13705922.6;22726288.9
67;5803063.7;3484801.3;14353396.2;23641261.2
68;5802736.9;3532568.2;14243153.9;23578459.0
69;5803414.1;3601512.0;13782111.7;23187037.8
70;5801859.8;4132013.0;14702739.6;24636612.4
71;5807267.6;3226085.8;11870671.1;20904024.6
72;5796374.9;5208096.0;17065721.6;28070192.5
73;5797664.2;5499748.5;16167666.4;27465079.0
74;5802462.0;4355584.7;14546916.8;24704963.5
75;5805332.7;3919677.0;12784651.4;22509661.1
76;5810701.0;1668415.9;10735448.0;18214564.9
77;5810954.7;1664741.5;10560638.8;18036335.1
78;5807153.1;2415202.5;12362770.3;20585125.9
79;5797586.4;5197613.9;16538504.3;27533704.6
